GDW_ID,active_by_year,analysis_year,active_year_source,dam_year_used,dam_year_field_used,dam_rem_year_used,source_area_ha,res_elev_m,dam_dem_median_3x3_m,res_minus_dam_dem_m,source_command_area_path,dem_path,dem_sample_cells,dem_target_resolution_m,dem_elev_min_m,dem_elev_p05_m,dem_elev_p10_m,dem_elev_median_m,dem_elev_p90_m,dem_elev_p95_m,dem_elev_max_m,head_min_m,head_p05_m,head_p10_m,head_median_m,head_p90_m,head_p95_m,head_max_m,pct_below_reservoir,pct_below_reservoir_plus5m,pct_below_reservoir_plus10m,pct_above_reservoir_plus10m,pct_positive_head,pct_head_ge_5m,distance_median_m,distance_p95_m,distance_max_m,far_low_head_pct,flag_tiny_dem_sample_lt_10,flag_above_allowed_gt_5pct,flag_low_positive_head_lt_75pct,flag_low_allowed_head_lt_95pct,flag_reservoir_dem_mismatch_gt_100m,major_flag_count,any_major_flag
7072,True,2015,processed_gdw_dam_year,2008,YEAR_DAM,-99,1630.7527796613454,200.0,208.72314453125,-8.72314453125,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,2522,30.0,155.60440063476562,165.00210723876953,169.11219787597656,192.27101135253906,211.5088912963867,214.06161499023438,242.98838806152344,-42.98838806152344,-14.061614990234375,-11.508891296386718,7.7289886474609375,30.88780212402345,34.99789276123047,44.395599365234375,65.58287073750991,76.16970658207771,87.66851704996034,12.331482950039652,65.58287073750991,55.35289452815226,3593.5322049416154,5339.622505993366,6428.592885928066,0.0,False,True,True,True,False,3,True
7250,True,2015,processed_gdw_dam_year,2014,YEAR_DAM,-99,410.5559268659702,863.0,879.7255859375,-16.7255859375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,677,30.0,841.6814575195312,845.4525024414063,847.44755859375,862.4862670898438,880.6797241210937,886.4861083984375,937.1688842773438,-74.16888427734375,-23.486108398437498,-17.67972412109375,0.51373291015625,15.552441406249999,17.547497558593747,21.31854248046875,51.10782865583457,62.33382570162481,72.96898079763663,27.031019202363364,51.10782865583457,38.70014771048744,2967.6140111116206,4688.987471246211,5033.147280800073,0.0,False,True,True,True,False,3,True
2034,True,2015,processed_gdw_dam_year,1998,YEAR_DAM,-99,484.24002034481384,489.0,493.8924255371094,-4.892425537109375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,785,30.0,477.6123046875,484.45006103515624,486.7380859375,496.6199035644531,506.4408325195312,509.0047668457031,518.5612182617188,-29.56121826171875,-20.004766845703124,-17.44083251953125,-7.619903564453125,2.2619140625000016,4.549938964843748,11.3876953125,19.363057324840767,40.254777070063696,59.49044585987261,40.50955414012739,19.363057324840767,4.203821656050955,1939.524408148692,3189.4130111857257,3330.0270401322214,0.0,False,True,True,True,False,3,True
6910,True,2015,processed_gdw_dam_year,2015,YEAR_DAM,-99,2061.79456924991,884.0,881.5952758789062,2.40472412109375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,2613,30.0,843.6307983398438,860.52880859375,867.97119140625,880.4829711914062,895.4267822265625,898.945703125,928.5355224609375,-44.5355224609375,-14.945703125,-11.426782226562501,3.51702880859375,16.028808593750007,23.47119140625,40.36920166015625,62.456946039035586,76.31075392269422,87.71526980482204,12.284730195177957,62.456946039035586,43.47493302717183,4342.344843947213,5800.28259214758,6642.0150051747705,0.0,False,True,True,True,False,3,True
6895,False,2015,processed_gdw_dam_year,2017,YEAR_DAM,-99,683.0322909160361,305.0,306.83929443359375,-1.83929443359375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,1001,30.0,300.7859191894531,304.1952819824219,305.1435241699219,313.5877685546875,319.191162109375,320.3982238769531,328.6547546386719,-23.654754638671875,-15.398223876953125,-14.191162109375,-8.5877685546875,-0.143524169921875,0.804718017578125,4.214080810546875,9.290709290709291,30.869130869130867,59.94005994005994,40.05994005994006,9.290709290709291,0.0,1968.8930637403296,14082.615522813756,20429.55322898259,0.0,False,True,True,True,False,3,True
391,True,2015,processed_gdw_dam_year,1966,YEAR_DAM,-99,2861.4646551939168,684.0,684.0,0.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,4289,30.0,660.1207885742188,680.0142700195313,684.0,689.6997680664062,695.7300659179688,697.099609375,717.5498657226562,-33.54986572265625,-13.099609375,-11.73006591796875,-5.69976806640625,0.0,3.9857299804687467,23.87921142578125,10.958265329913733,45.18535789228258,79.80881324318023,20.19118675681977,10.958265329913733,4.663091629750524,10812.679899887942,23085.57004571717,23878.54690590312,0.0,False,True,True,True,False,3,True
5295,True,2015,processed_gdw_dam_year,1938,YEAR_DAM,-99,272.5716370609858,940.0,940.0,0.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,624,30.0,913.8200073242188,939.7635681152344,940.0,947.8605041503906,960.4173645019531,970.3623596191406,1021.702880859375,-81.702880859375,-30.362359619140626,-20.417364501953124,-7.860504150390625,0.0,0.2364318847656255,26.17999267578125,11.378205128205128,34.93589743589743,60.89743589743589,39.1025641025641,11.378205128205128,1.1217948717948718,1865.2203436313414,2725.2931198233027,3343.5214847689854,0.0,False,True,True,True,False,3,True
5363,True,2015,processed_gdw_dam_year,1966,YEAR_DAM,-99,1597.122769200988,296.0,296.0,0.0,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,2708,30.0,273.1982727050781,281.3573226928711,285.28050537109374,300.93540954589844,308.4058837890625,309.9262924194336,315.4503479003906,-19.450347900390625,-13.926292419433594,-12.4058837890625,-4.9354095458984375,10.719494628906268,14.642677307128908,22.801727294921875,32.93943870014771,50.258493353028065,76.92023633677991,23.07976366322009,32.93943870014771,20.125553914327917,2582.01153653024,5091.37764847406,6584.220595188467,0.0,False,True,True,True,False,3,True
6711,True,2015,processed_gdw_dam_year,1970,YEAR_DAM,-99,321.0994231278431,157.0,152.6048583984375,4.3951416015625,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,570,30.0,146.03948974609375,150.8596061706543,153.32826538085936,163.54542541503906,171.16249237060546,172.79390182495118,177.89239501953125,-20.89239501953125,-15.793901824951172,-14.162492370605468,-6.5454254150390625,3.6717346191406253,6.140393829345703,10.96051025390625,18.947368421052634,41.228070175438596,69.12280701754386,30.87719298245614,18.947368421052634,7.368421052631578,1059.4631076992678,2570.3385238072738,2823.2061137675782,0.0,False,True,True,True,False,3,True
5379,True,2015,processed_gdw_dam_year,1971,YEAR_DAM,-99,324.36330540707417,134.0,133.80178833007812,0.198211669921875,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,582,30.0,106.2353286743164,112.80780944824218,116.63382720947266,137.7111053466797,147.61915588378906,148.6778350830078,156.19654846191406,-22.196548461914062,-14.677835083007812,-13.619155883789062,-3.7111053466796875,17.366172790527344,21.19219055175779,27.764671325683594,41.40893470790378,53.608247422680414,73.19587628865979,26.804123711340207,41.40893470790378,33.50515463917525,1105.304175721969,1725.460939483019,1950.926550002125,0.0,False,True,True,True,False,3,True
2078,True,2015,processed_gdw_dam_year,1976,YEAR_DAM,-99,1182.5631906720434,1031.0,1029.109619140625,1.890380859375,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,2915,30.0,971.359130859375,1004.5131469726563,1020.3600952148438,1038.1376953125,1047.8696533203124,1051.6439453125,1085.7576904296875,-54.7576904296875,-20.6439453125,-16.869653320312498,-7.1376953125,10.639904785156247,26.486853027343745,59.640869140625,18.421955403087477,37.01543739279589,65.24871355060034,34.75128644939966,18.421955403087477,12.041166380789022,4656.794237071151,10046.17615996402,11552.172555360006,0.0,False,True,True,True,False,3,True
2051,True,2015,processed_gdw_dam_year,1980,YEAR_DAM,-99,3984.2385861654634,297.0,296.5788269042969,0.421173095703125,C:\Users\ermil\Documents\Africa_Irrigation\Data\Raw\Physical_Envelope_Command_Areas_AnyUse_Hgt15-shp\Physical_Envelope_Command_Areas_AnyUse_Hgt15.shp,C:\Users\ermil\Documents\Africa_Irrigation\Data\Processed\Africa_Elevation_Reprojected.tif,6670,30.0,246.5811309814453,265.07887878417966,271.0363739013672,300.7736053466797,311.1271148681641,313.3443466186523,327.1411437988281,-30.141143798828125,-16.34434661865234,-14.127114868164062,-3.7736053466796875,25.96362609863282,31.92112121582031,50.41886901855469,38.65067466266866,54.54272863568216,75.7871064467766,24.212893553223388,38.65067466266866,30.719640179910044,4267.573973565487,9849.212182453455,13047.469859560993,0.0,False,True,True,True,False,3,True
