variant,variant_label,is_primary,inside_growth_ha,outside_growth_ha,total_growth_ha,outside_growth_share_pct,outside_share_2000_pct,outside_share_2015_pct
area_weighted,Area-weighted fractional overlap,True,11880.609059215729,521547.63200455625,533428.2410637718,97.77278213925776,98.50131697091348,98.43177143608935
all_touched,"Binary raster mask, all touched cells",False,16058.119005799294,599104.5322919087,615162.651297708,97.38961411718931,95.29071640920031,95.50326367405184
center_cell,"Binary raster mask, cell center",False,14559.055415153503,520885.7296307171,535444.7850458706,97.28094178489269,98.54072034643676,98.42037469180748
