metric,value
"Total AEI annualized growth rate, 2000-2015 (%)",0.6710961223746148
"Sampled dam-associated AEI annualized growth rate, 2000-2015 (%)",0.9759858562536916
"Growth-rate gap, total minus sampled dam-associated (percentage points)",-0.3048897338790768
Sampled dam-associated growth rate as fraction of total AEI growth rate,1.4543160416428145
Additional missing-dam growth needed to reduce outside-growth share below 90% (ha),41462.21504716144
Additional missing-dam growth needed to reduce outside-growth share below 75% (ha),121476.45120672722
Additional missing-dam growth needed to reduce outside-growth share below 50% (ha),254833.51147267016
