year,inside_AEI_ha,outside_AEI_ha,total_AEI_ha,inside_share_pct,outside_share_pct,n_unique_dams,command_area_ha
1980,42952.092462215915,3632354.772506246,3675306.864968462,1.1686668362747579,98.83133316372525,112,601753.2712600023
1985,45571.34674071461,3887835.0940386206,3933406.4407793353,1.1585720272447981,98.8414279727552,136,691582.371497403
1990,62524.20202062075,4182794.53895062,4245318.740971241,1.472779921498109,98.52722007850188,153,949142.8800350823
1995,65721.94420343862,4577986.552247949,4643708.496451387,1.41529004789301,98.58470995210699,159,980408.3115775737
2000,75752.13956418986,4978828.321679969,5054580.461244159,1.4986830290865298,98.50131697091346,161,980987.007709072
2005,85927.49490303017,5004919.597541771,5090847.092444802,1.6878820625069058,98.31211793749308,162,981021.5011984968
2010,87267.85167209028,5391774.551070598,5479042.402742688,1.5927573699448998,98.40724263005511,165,990437.1565208044
2015,87632.74862340557,5500375.953684525,5588008.70230793,1.568228563910646,98.43177143608935,169,994363.5391169576
