ISO,country_name,inside_growth_ha,outside_growth_ha,total_growth_ha,outside_growth_share_pct,outside_share_2015_pct
MLI,Mali,417.9949994872362,140199.02636300807,140617.02136249538,99.7027422459691,99.7054511394284
ZAF,South Africa,642.3256350333977,123339.93243971304,123982.25807474648,99.4819213289,99.66049659427274
TZA,Tanzania,203.887243263326,74280.8549029067,74484.74214617003,99.72626978708846,99.84799320626591
KEN,Kenya,0.0,37410.09319918102,37410.09319918102,100.0,100.0
BFA,Burkina Faso,131.10755051363623,28717.045293854564,28848.1528443682,99.54552531934732,99.4789119305408
NER,Niger,0.0,26004.16259756255,26004.16259756255,100.0,100.0
SSD,South Sudan,0.0,25837.549934796956,25837.549934796956,100.0,100.0
NGA,Nigeria,25.096046303083952,23401.87825891329,23426.974305216456,99.89287542652242,99.9408081680494
SEN,Senegal,9851.764990121856,1791.5315055152605,11643.296495637114,15.38680653014865,72.38167305752121
MWI,Malawi,0.0,9491.15095655326,9491.15095655326,100.0,100.0
GHA,Ghana,2.4880105581112115,5360.441896027136,5362.929906585248,99.95360725197887,99.90951237565986
AGO,Angola,11.009321392812168,4856.136036354743,4867.145357747562,99.7738033162438,99.92932809734144
SDN,Sudan,145.22884467963013,4112.010175830917,4257.239020510344,96.58866124312614,97.94735244086024
TCD,Chad,0.0,4131.571043752669,4131.571043752669,100.0,100.0
GMB,Gambia,0.0,2836.1852354964776,2836.1852354964776,100.0,100.0
